Timestamp,Alipur_Max_AQI,Anand_Vihar_Max_AQI,Ashok_Vihar_Max_AQI,Aya_Nagar_Max_AQI,Bawana_Max_AQI,DrKarni_Max_AQI,DTU_Max_AQI,CRRI_Max_AQI,Chandni_Max_AQI,Burari_Max_AQI,Dwarka-Sector_8_Max_AQI,IGI_Airport_(T3)_Max_AQI,ITO_Max_AQI,Jahangirpuri_Max_AQI,Jawaharlal_Nehru_Stadium_Max_AQI,NSIT_Max_AQI,Najafgarh_Max_AQI,Narela_Max_AQI,NehruNagar_Max_AQI,NorthCampus_Max_AQI,Rohini_Delhi_Max_AQI,Shadipur_Delhi_Max_AQI,Sirifort_Delhi_Max_AQI,Sonia_Vihar_Delhi_Max_AQI,Wazipur_Delhi_Max_AQI,LodhaRoad(IITM)_Max_AQI,LodhaRoad(IMD)_Max_AQI,MajorDhyanChandStd_Max_AQI,Mundka_Max_AQI
03-01-2017 12:00,,361.4816433,,,,,198.7608008,,,,,,105.3090452,,,,,,,,,221.4243243,262.3720721,,,,,,
03-01-2017 13:00,,326.2598397,,,,,194.113804,,,,,,195.662803,,,,,,,,,206.4009009,196.618019,,,,,,
03-01-2017 14:00,,309.3379888,,,,,194.113804,,,,,,205.4594595,,,,,,,,,222.7027027,180.6478398,,,,,,
03-01-2017 15:00,,272.4952174,,,,,194.113804,,,,,,203.4774775,,,,,,,,,198.5955743,206.8963964,,,,,,
03-01-2017 16:00,,403.0903352,,,,,160.5521602,,,,,,177.3329821,,,,,,,,,202.7144144,202.1891892,,,,,,
03-01-2017 17:00,,489.6275419,,,,,156.9378293,,,,,,183.1417281,,,,,,,,,188.0468915,233.672973,,,,,,
03-01-2017 18:00,,241.9576577,,,,,156.9378293,,,,,,214.6261261,,,,,,,,,212.8522523,263.4621622,,,,,,
03-01-2017 19:00,,305.9849699,,,,,156.9378293,,,,,,255.7522523,,,,,,,,,283.172973,315.3567134,,,,,,
03-01-2017 20:00,,360.0220441,,,,,160.5521602,,,,,,280.0315315,,,,,,,,,335.3604008,364.672024,,,,,,
03-01-2017 21:00,,392.7234469,,,,,161.0684932,,,,,,316.1543086,,,,,,,,,399.1839679,370.8852906,,,,,,
03-01-2017 22:00,,452.2798798,,,,,161.0684932,,,,,,339.2845691,,,,,,,,,370.4545892,345.2266533,,,,,,
03-01-2017 23:00,,487.238477,,,,,161.0684932,,,,,,331.7074148,,,,,,,,,353.3142685,341.5577154,,,,,,
04-01-2017 00:00,,105.6105405,,,,,171.9114858,,,,,,316.752505,,,,,,,,,373.9959118,262.0747748,,,,,,
04-01-2017 01:00,,481.1209218,,,,,173.4604847,,,,,,320.3416834,,,,,,,,,333.9327054,393.4412826,,,,,,
04-01-2017 02:00,,478.8637275,,,,,173.4604847,,,,,,321.7374749,,,,,,,,,329.8729459,387.3556313,,,,,,
04-01-2017 03:00,,458.6606413,,,,,173.4604847,,,,,,328.5170341,,,,,,,,,312.9080962,364.3290581,,,,,,
04-01-2017 04:00,,446.2979158,,,,,180.6891465,,,,,,339.8827655,,,,,,,,,274.5018018,346.438998,,,,,,
04-01-2017 05:00,,445.5003206,,,,,181.2054795,,,,,,339.6833667,,,,,,,,,261.9459459,333.5418838,,,,,,
04-01-2017 06:00,,472.6185571,,,,,181.2054795,,,,,,302.5951904,,,,,,,,,299.2666667,320.3257315,,,,,,
04-01-2017 07:00,,485.3800802,,,,,181.2054795,,,,,,269.8738739,,,,,,,,,284.2135135,304.4137074,,,,,,
04-01-2017 08:00,,450.527933,,,,,234.1981982,,,,,,274.8288288,,,,,,,,,287.4045045,308.4415631,,,,,,
04-01-2017 09:00,,493.6964804,,,,,241.1351351,,,,,,295.6396396,,,,,,,,,311.6797996,328.4133467,,,,,,
04-01-2017 10:00,,302.5951904,,,,,241.1351351,,,,,,263.6801802,,,,,,,,,294.7279279,285.1351351,,,,,,
04-01-2017 11:00,,240.3126126,,,,,241.1351351,,,,,,182.8835616,,,,,,,,,246.427027,196.525079,,,,,,
04-01-2017 12:00,,199.9638567,,,,,306.9819639,,,,,,161.7139094,,,,,,,,,221.5234234,174.0026344,,,,,,
04-01-2017 13:00,,159.6072708,,,,,312.5651303,,,,,,162.8756586,,,,,,,,,176.4913593,168.4417281,,,,,,
04-01-2017 14:00,,160.7225501,,,,,312.5651303,,,,,,160.9394099,,,,,,,,,156.9533193,164.0528978,,,,,,
04-01-2017 15:00,,163.3919916,,,,,312.5651303,,,,,,161.7139094,,,,,,,,,156.6590095,156.7984194,,,,,,
04-01-2017 16:00,,162.0133825,,,,,310.1723447,,,,,,161.7139094,,,,,,,,,168.6637513,160.0874605,,,,,,
04-01-2017 17:00,,175.0094837,,,,,310.1723447,,,,,,165.3282403,,,,,,,,,168.4830348,160.0874605,,,,,,
04-01-2017 18:00,,181.0350896,,,,,310.1723447,,,,,,169.0716544,,,,,,,,,176.5894626,166.9288725,,,,,,
04-01-2017 19:00,,198.8485774,,,,,310.1723447,,,,,,193.2102213,,,,,,,,,180.5497366,203.8738739,,,,,,
04-01-2017 20:00,,199.9638567,,,,,326.9218437,,,,,,221.3153153,,,,,,,,,179.2434141,236.972973,,,,,,
04-01-2017 21:00,,212.0047826,,,,,328.5170341,,,,,,217.5990991,,,,,,,,,177.5911486,246.2684685,,,,,,
04-01-2017 22:00,,243.1171171,,,,,328.5170341,,,,,,199.9225501,,,,,,,,,179.8888303,254.2855856,,,,,,
